"","lon","lat","ele","time","name","sym","site","cmt","desc","extensions","type","link"
"87",-78.6284489,-0.003922,NA,"16-AGO-18 8:47:02","124","Flag, Blue","Alaspungo","16-AGO-18 8:47:02","16-AGO-18 8:47:02","SymbolAndName",NA,NA
"88",-78.6284489,-0.003922,NA,"16-AGO-18 8:47:06","125","Flag, Blue","Alaspungo","16-AGO-18 8:47:06","16-AGO-18 8:47:06","SymbolAndName",NA,NA
"89",-78.6284489,-0.003922,NA,"16-AGO-18 8:47:09","126","Flag, Blue","Alaspungo","16-AGO-18 8:47:09","16-AGO-18 8:47:09","SymbolAndName",NA,NA
"90",-78.6284489,-0.003922,NA,"16-AGO-18 8:47:12","127","Flag, Blue","Alaspungo","16-AGO-18 8:47:12","16-AGO-18 8:47:12","SymbolAndName",NA,NA
"91",-78.6284489,-0.003922,NA,"16-AGO-18 8:47:16","128","Flag, Blue","Alaspungo","16-AGO-18 8:47:16","16-AGO-18 8:47:16","SymbolAndName",NA,NA
"92",-78.6284489,-0.003922,NA,"16-AGO-18 8:47:18","129","Flag, Blue","Alaspungo","16-AGO-18 8:47:18","16-AGO-18 8:47:18","SymbolAndName",NA,NA
"93",-78.6284489,-0.003922,NA,"16-AGO-18 8:47:22","130","Flag, Blue","Alaspungo","16-AGO-18 8:47:22","16-AGO-18 8:47:22","SymbolAndName",NA,NA
"94",-78.6284489,-0.003922,NA,"16-AGO-18 8:47:25","131","Flag, Blue","Alaspungo","16-AGO-18 8:47:25","16-AGO-18 8:47:25","SymbolAndName",NA,NA
"95",-78.6284489,-0.003922,NA,"16-AGO-18 8:47:26","132","Flag, Blue","Alaspungo","16-AGO-18 8:47:26","16-AGO-18 8:47:26","SymbolAndName",NA,NA
"96",-78.6284489,-0.003922,NA,"16-AGO-18 8:47:27","133","Flag, Blue","Alaspungo","16-AGO-18 8:47:27","16-AGO-18 8:47:27","SymbolAndName",NA,NA
"97",-78.6284489,-0.003922,NA,"16-AGO-18 8:47:32","134","Flag, Blue","Alaspungo","16-AGO-18 8:47:32","16-AGO-18 8:47:32","SymbolAndName",NA,NA
"98",-78.6284489,-0.003922,NA,"16-AGO-18 8:47:33","135","Flag, Blue","Alaspungo","16-AGO-18 8:47:33","16-AGO-18 8:47:33","SymbolAndName",NA,NA
"99",-78.6284489,-0.003922,NA,"16-AGO-18 8:47:38","136","Flag, Blue","Alaspungo","16-AGO-18 8:47:38","16-AGO-18 8:47:38","SymbolAndName",NA,NA
"100",-78.6284489,-0.003922,NA,"16-AGO-18 8:47:43","137","Flag, Blue","Alaspungo","16-AGO-18 8:47:43","16-AGO-18 8:47:43","SymbolAndName",NA,NA
"101",-78.6284489,-0.003922,NA,"16-AGO-18 8:47:46","138","Flag, Blue","Alaspungo","16-AGO-18 8:47:46","16-AGO-18 8:47:46","SymbolAndName",NA,NA
"102",-78.6284489,-0.003922,NA,"16-AGO-18 8:47:50","139","Flag, Blue","Alaspungo","16-AGO-18 8:47:50","16-AGO-18 8:47:50","SymbolAndName",NA,NA
"103",-78.6284489,-0.003922,NA,"16-AGO-18 8:47:51","140","Flag, Blue","Alaspungo","16-AGO-18 8:47:51","16-AGO-18 8:47:51","SymbolAndName",NA,NA
"104",-78.6284489,-0.003922,NA,"16-AGO-18 8:47:52","141","Flag, Blue","Alaspungo","16-AGO-18 8:47:52","16-AGO-18 8:47:52","SymbolAndName",NA,NA
"105",-78.6284489,-0.003922,NA,"16-AGO-18 8:47:56","142","Flag, Blue","Alaspungo","16-AGO-18 8:47:56","16-AGO-18 8:47:56","SymbolAndName",NA,NA
"106",-78.6284489,-0.003922,NA,"16-AGO-18 8:48:04","143","Flag, Blue","Alaspungo","16-AGO-18 8:48:04","16-AGO-18 8:48:04","SymbolAndName",NA,NA
"107",-78.6284489,-0.003922,NA,"16-AGO-18 8:48:07","144","Flag, Blue","Alaspungo","16-AGO-18 8:48:07","16-AGO-18 8:48:07","SymbolAndName",NA,NA
"108",-78.6284489,-0.003922,NA,"16-AGO-18 8:48:09","145","Flag, Blue","Alaspungo","16-AGO-18 8:48:09","16-AGO-18 8:48:09","SymbolAndName",NA,NA
"109",-78.6284489,-0.003922,NA,"16-AGO-18 8:48:13","146","Flag, Blue","Alaspungo","16-AGO-18 8:48:13","16-AGO-18 8:48:13","SymbolAndName",NA,NA
"110",-78.6284489,-0.003922,NA,"16-AGO-18 8:48:17","147","Flag, Blue","Alaspungo","16-AGO-18 8:48:17","16-AGO-18 8:48:17","SymbolAndName",NA,NA
"111",-78.6284489,-0.003922,NA,"16-AGO-18 8:48:18","148","Flag, Blue","Alaspungo","16-AGO-18 8:48:18","16-AGO-18 8:48:18","SymbolAndName",NA,NA
"112",-78.6284489,-0.003922,NA,"16-AGO-18 8:48:19","149","Flag, Blue","Alaspungo","16-AGO-18 8:48:19","16-AGO-18 8:48:19","SymbolAndName",NA,NA
"113",-78.6284489,-0.003922,NA,"16-AGO-18 8:48:22","150","Flag, Blue","Alaspungo","16-AGO-18 8:48:22","16-AGO-18 8:48:22","SymbolAndName",NA,NA
"114",-78.6284489,-0.003922,NA,"16-AGO-18 8:48:23","151","Flag, Blue","Alaspungo","16-AGO-18 8:48:23","16-AGO-18 8:48:23","SymbolAndName",NA,NA
"115",-78.6284489,-0.003922,NA,"16-AGO-18 8:48:26","152","Flag, Blue","Alaspungo","16-AGO-18 8:48:26","16-AGO-18 8:48:26","SymbolAndName",NA,NA
"116",-78.6284489,-0.003922,NA,"16-AGO-18 8:48:38","153","Flag, Blue","Alaspungo","16-AGO-18 8:48:38","16-AGO-18 8:48:38","SymbolAndName",NA,NA
"117",-78.6284489,-0.003922,NA,"16-AGO-18 8:48:43","154","Flag, Blue","Alaspungo","16-AGO-18 8:48:43","16-AGO-18 8:48:43","SymbolAndName",NA,NA
"118",-78.6284489,-0.003922,NA,"16-AGO-18 8:48:52","155","Flag, Blue","Alaspungo","16-AGO-18 8:48:52","16-AGO-18 8:48:52","SymbolAndName",NA,NA
"119",-78.6284489,-0.003922,NA,"16-AGO-18 8:48:55","156","Flag, Blue","Alaspungo","16-AGO-18 8:48:55","16-AGO-18 8:48:55","SymbolAndName",NA,NA
"120",-78.6284489,-0.003922,NA,"16-AGO-18 8:49:10","157","Flag, Blue","Alaspungo","16-AGO-18 8:49:10","16-AGO-18 8:49:10","SymbolAndName",NA,NA
"121",-78.6284489,-0.003922,NA,"16-AGO-18 8:49:24","158","Flag, Blue","Alaspungo","16-AGO-18 8:49:24","16-AGO-18 8:49:24","SymbolAndName",NA,NA
"122",-78.6284489,-0.003922,NA,"16-AGO-18 8:49:25","159","Flag, Blue","Alaspungo","16-AGO-18 8:49:25","16-AGO-18 8:49:25","SymbolAndName",NA,NA
"123",-78.6284489,-0.003922,NA,"16-AGO-18 8:49:39","160","Flag, Blue","Alaspungo","16-AGO-18 8:49:39","16-AGO-18 8:49:39","SymbolAndName",NA,NA
"124",-78.6284489,-0.003922,NA,"16-AGO-18 8:49:46","161","Flag, Blue","Alaspungo","16-AGO-18 8:49:46","16-AGO-18 8:49:46","SymbolAndName",NA,NA
"125",-78.6284489,-0.003922,NA,"16-AGO-18 8:50:34","162","Flag, Blue","Alaspungo","16-AGO-18 8:50:34","16-AGO-18 8:50:34","SymbolAndName",NA,NA
"126",-78.6284489,-0.003922,NA,"16-AGO-18 8:51:15","163","Flag, Blue","Alaspungo","16-AGO-18 8:51:15","16-AGO-18 8:51:15","SymbolAndName",NA,NA
"127",-78.6284489,-0.003922,NA,"16-AGO-18 8:51:17","164","Flag, Blue","Alaspungo","16-AGO-18 8:51:17","16-AGO-18 8:51:17","SymbolAndName",NA,NA
"128",-78.6284489,-0.003922,NA,"16-AGO-18 8:51:19","165","Flag, Blue","Alaspungo","16-AGO-18 8:51:19","16-AGO-18 8:51:19","SymbolAndName",NA,NA
"129",-78.6284489,-0.003922,NA,"16-AGO-18 8:51:22","166","Flag, Blue","Alaspungo","16-AGO-18 8:51:22","16-AGO-18 8:51:22","SymbolAndName",NA,NA
"130",-78.6284489,-0.003922,NA,"16-AGO-18 8:51:23","167","Flag, Blue","Alaspungo","16-AGO-18 8:51:23","16-AGO-18 8:51:23","SymbolAndName",NA,NA
"131",-78.6284489,-0.003922,NA,"16-AGO-18 8:51:33","168","Flag, Blue","Alaspungo","16-AGO-18 8:51:33","16-AGO-18 8:51:33","SymbolAndName",NA,NA
